baseline,horizon_h,variable,mae,se,err
mos,48,wind_speed_100m,1.7233913970424621,2.9700779073999692,1.7233913970424621
mos,48,wind_speed_10m,0.4092572117269957,0.16749146535055498,0.4092572117269957
mos,48,surface_pressure,0.4866379754778336,0.2368165191771646,0.4866379754778336
mos,48,precipitation,0.0,0.0,0.0
mos,72,temperature_2m,0.049143073067581255,0.00241504163052563,0.049143073067581255
mos,72,relative_humidity_2m,2.630289229920706,6.91842143303686,2.630289229920706
mos,72,cloud_cover,0.0,0.0,0.0
mos,72,wind_speed_100m,1.3736515672704264,1.8869186282644987,-1.3736515672704264
mos,72,wind_speed_10m,0.671466002785262,0.4508665928964175,-0.671466002785262
mos,72,surface_pressure,0.01994763048742243,0.0003979079620627448,-0.01994763048742243
mos,72,precipitation,0.0,0.0,0.0
patchtst,1,temperature_2m,0.053312390009100596,0.0028422109284824493,0.053312390009100596
patchtst,1,relative_humidity_2m,3.2873275231380035,10.806522244380641,3.2873275231380035
patchtst,1,cloud_cover,10.266997783540418,105.41124348722386,10.266997783540418
patchtst,1,wind_speed_100m,1.1946685627159566,1.4272329747418095,1.1946685627159566
patchtst,1,wind_speed_10m,0.4873959903376681,0.23755485139723628,0.4873959903376681
patchtst,1,surface_pressure,0.10641292239608902,0.011323710052876064,-0.10641292239608902
patchtst,1,precipitation,0.0015468670401369566,2.392797639862069e-06,-0.0015468670401369566
patchtst,6,temperature_2m,0.72783643993683,0.5297458832999188,0.72783643993683
patchtst,6,relative_humidity_2m,6.84997442338792,46.92214960106867,6.84997442338792
patchtst,6,cloud_cover,12.484005682734093,155.85039788653714,12.484005682734093
patchtst,6,wind_speed_100m,1.6799743070700794,2.8223136724155937,-1.6799743070700794
patchtst,6,wind_speed_10m,1.1514768126003116,1.3258988499561732,-1.1514768126003116
patchtst,6,surface_pressure,0.9347420676959928,0.8737427331205799,0.9347420676959928
patchtst,6,precipitation,0.1958507584599783,0.03835751958934876,0.1958507584599783
patchtst,12,shortwave_radiation,189.3861950736873,35867.13088448874,-189.3861950736873
patchtst,12,direct_normal_irradiance,403.3637771873407,162702.33674683864,-403.3637771873407
patchtst,12,diffuse_radiation,152.60056942137277,23286.93378772721,152.60056942137277
patchtst,12,temperature_2m,2.2593433632881528,5.1046324332342214,-2.2593433632881528
patchtst,12,relative_humidity_2m,23.234984081287166,539.864485257668,23.234984081287166
patchtst,12,cloud_cover,16.616081404574047,276.0941612434314,16.616081404574047
patchtst,12,wind_speed_100m,0.3131981068608667,0.09809305414123087,-0.3131981068608667
patchtst,12,wind_speed_10m,0.23088742543616547,0.05330900322454087,-0.23088742543616547
patchtst,12,surface_pressure,1.4720924167050953,2.167056083320648,-1.4720924167050953
patchtst,12,precipitation,4.768978402759399,22.74315500598559,4.768978402759399
