contendiente,horizonte_h,variable,mae,rmse,bias,n
persistence,1,cloud_cover,24.2625,32.9863608177683,0.125,320
persistence,1,diffuse_radiation,44.42675159235669,74.49665490716136,-1.1019108280254777,157
persistence,1,direct_normal_irradiance,176.15859872611466,234.47957837551488,10.245222929936304,157
persistence,1,precipitation,0.11468749999999998,0.35253545920942475,0.00031250000000000255,320
persistence,1,relative_humidity_2m,8.521875,12.318558154264645,-0.309375,320
persistence,1,shortwave_radiation,75.14012738853503,122.6909275140893,3.254777070063694,157
persistence,1,surface_pressure,0.7400000000000009,0.9486832980505144,0.0024999999999995026,320
persistence,1,temperature_2m,1.0471875,1.391413400107962,0.024062500000000007,320
persistence,1,wind_speed_100m,3.3346875,4.340193688074301,0.1590625,320
persistence,1,wind_speed_10m,1.9853124999999998,2.6481656387016277,0.0921875,320
persistence,6,cloud_cover,23.934375,32.51898483962868,-0.421875,320
persistence,6,diffuse_radiation,48.96875,66.1024299855913,-2.24375,160
persistence,6,direct_normal_irradiance,206.946875,272.4226003610934,5.388124999999998,160
persistence,6,precipitation,0.16625,0.5100245092149984,0.0012500000000000007,320
persistence,6,relative_humidity_2m,9.45625,14.004463574160917,-0.375,320
persistence,6,shortwave_radiation,96.10625,138.28211652270875,1.59375,160
persistence,6,surface_pressure,0.7328124999999968,0.9560825016702253,0.008437499999999787,320
persistence,6,temperature_2m,1.1159375,1.499760397530219,0.03593749999999997,320
persistence,6,wind_speed_100m,3.3981250000000003,4.391113184603649,0.128125,320
persistence,6,wind_speed_10m,2.05625,2.6661770383828607,0.07249999999999998,320
persistence,12,cloud_cover,23.825,32.45371704443114,-0.525,320
persistence,12,diffuse_radiation,48.96875,66.1024299855913,-2.24375,160
persistence,12,direct_normal_irradiance,206.946875,272.4226003610934,5.388124999999998,160
persistence,12,precipitation,0.16625,0.5100245092149983,0.0012500000000000007,320
persistence,12,relative_humidity_2m,9.475,14.009817985969697,-0.31875,320
persistence,12,shortwave_radiation,96.10625,138.28211652270875,1.59375,160
persistence,12,surface_pressure,0.7368749999999963,0.9637491893641192,0.00937499999999929,320
persistence,12,temperature_2m,1.1087500000000001,1.4917900321425936,0.04187499999999997,320
persistence,12,wind_speed_100m,3.4331249999999995,4.4368626302828,0.164375,320
persistence,12,wind_speed_10m,2.089375,2.7075704053634504,0.08249999999999999,320
persistence,24,cloud_cover,23.965625,32.575729078563995,-0.696875,320
persistence,24,diffuse_radiation,49.08125,68.85178828469164,1.11875,160
persistence,24,direct_normal_irradiance,201.27937500000002,269.18058726903024,5.566874999999998,160
persistence,24,precipitation,0.15562499999999999,0.47716611363339706,-0.010000000000000004,320
persistence,24,relative_humidity_2m,9.365625,13.92087012366684,-0.421875,320
persistence,24,shortwave_radiation,93.7875,136.728517508236,3.425,160
persistence,24,surface_pressure,0.7362499999999962,0.959459483250855,0.013749999999999573,320
persistence,24,temperature_2m,1.0940625000000002,1.4809308727958912,0.059687499999999984,320
persistence,24,wind_speed_100m,3.44125,4.443190013942685,0.16874999999999998,320
persistence,24,wind_speed_10m,2.1084375,2.7227800590572864,0.0978125,320
persistence,48,cloud_cover,28.0125,36.073189490257164,-0.06875,320
persistence,48,diffuse_radiation,55.725,79.81384591660773,3.625,160
persistence,48,direct_normal_irradiance,236.41500000000002,308.1556566899268,0.7850000000000001,160
persistence,48,precipitation,0.19125,0.5450344025839102,-0.013750000000000002,320
persistence,48,relative_humidity_2m,11.74375,16.595368329747913,-0.6625,320
persistence,48,shortwave_radiation,108.76875,156.92261229663492,3.48125,160
persistence,48,surface_pressure,0.9562499999999989,1.2632547249070545,-0.01375000000000064,320
persistence,48,temperature_2m,1.3912499999999999,1.861719635176038,0.09749999999999996,320
persistence,48,wind_speed_100m,4.1103125,5.240094822615331,0.24906249999999996,320
persistence,48,wind_speed_10m,2.4775,3.153153183719434,0.12125000000000001,320
persistence,72,cloud_cover,30.38125,37.79963624163598,-0.2125,320
persistence,72,diffuse_radiation,56.975,76.35132611814937,4.4875,160
