baseline,horizon_h,variable,mae
climatology,12,cloud_cover,0.7142857142857082
climatology,12,wind_speed_100m,0.07142857142857117
climatology,12,wind_speed_10m,0.257142857142857
climatology,12,surface_pressure,1.3928571428571104
climatology,12,precipitation,0.2857142857142857
climatology,24,shortwave_radiation,20.5
climatology,24,direct_normal_irradiance,4.121428571428567
climatology,24,diffuse_radiation,23.14285714285714
climatology,24,temperature_2m,0.6285714285714281
climatology,24,relative_humidity_2m,0.7142857142857082
climatology,24,cloud_cover,0.0
climatology,24,wind_speed_100m,0.9857142857142849
climatology,24,wind_speed_10m,0.25
climatology,24,surface_pressure,1.542857142856974
climatology,24,precipitation,1.0142857142857142
persistence,1,temperature_2m,1.0
persistence,1,relative_humidity_2m,7.0
persistence,1,cloud_cover,20.0
persistence,1,wind_speed_100m,0.6999999999999997
persistence,1,wind_speed_10m,0.5000000000000001
persistence,1,surface_pressure,0.39999999999997726
persistence,1,precipitation,0.0
persistence,6,temperature_2m,1.700000000000001
persistence,6,relative_humidity_2m,8.0
persistence,6,cloud_cover,2.0
persistence,6,wind_speed_100m,0.40000000000000013
persistence,6,wind_speed_10m,1.2000000000000002
persistence,6,surface_pressure,0.8000000000000682
persistence,6,precipitation,0.0
