hour,timestamp,pv_real_kw,load_real_kw,diesel_kw,grid_kw,charge_kw,discharge_kw,curtailed_kw,ens_kw,tariff,soc_kwh,violation,cost_diesel,cost_grid,cost_battery
8,2026-08-06 08:00:00-05:00,4.786153844087214,5.120044905786454,0.0,-0.0001089383007597533,0.0,0.334,0.0,0.0,80.0,102.95368421052633,0,0.0,40.0,10.020000000000001
9,2026-08-06 09:00:00-05:00,5.390980347888514,3.3772674859436367,0.0,-2.0137128619448776,0.0,0.0,0.0,0.0,80.0,102.60210526315791,0,0.0,40.0,0.0
10,2026-08-06 10:00:00-05:00,11.342859764956616,2.917800398155143,0.0,-8.425059366801474,0.0,0.0,0.0,0.0,80.0,102.60210526315791,0,0.0,40.0,0.0
11,2026-08-06 11:00:00-05:00,14.917346776113035,2.8779530809525737,0.0,-12.039393695160461,0.0,0.0,0.0,0.0,80.0,102.60210526315791,0,0.0,40.0,0.0
12,2026-08-06 12:00:00-05:00,19.225224774046566,2.8767261123823644,0.0,-16.348498661664202,0.0,0.0,0.0,0.0,80.0,102.60210526315791,0,0.0,40.0,0.0
13,2026-08-06 13:00:00-05:00,20.909293695821308,2.8767124539450397,0.0,-18.03258124187627,0.0,0.0,0.0,0.0,80.0,102.60210526315791,0,0.0,40.0,0.0
14,2026-08-06 14:00:00-05:00,18.589475859287273,2.8767291753661524,0.0,-15.71274668392112,0.0,0.0,0.0,0.0,80.0,102.60210526315791,0,0.0,40.0,0.0
15,2026-08-06 15:00:00-05:00,16.405078405544412,2.8782288036604284,0.0,-13.526849601883983,0.0,0.0,0.0,0.0,80.0,102.60210526315791,0,0.0,40.0,0.0
16,2026-08-06 16:00:00-05:00,11.255989396716545,2.9269310802413693,0.0,-8.329058316475177,0.0,0.0,0.0,0.0,80.0,102.60210526315791,0,0.0,40.0,0.0
17,2026-08-06 17:00:00-05:00,5.647067578466911,3.488501965316195,0.0,-2.158565613150716,0.0,0.0,0.0,0.0,80.0,102.60210526315791,0,0.0,40.0,0.0
18,2026-08-06 18:00:00-05:00,1.325526389045313,5.618563256235194,0.0,3.68671898804962e-05,0.0,4.293,0.0,0.0,80.0,102.60210526315791,0,0.0,40.00294937519044,128.79
19,2026-08-06 19:00:00-05:00,0.22648340689996038,7.397260273972603,0.0,-0.0002231329273572058,0.0,7.171,0.0,0.0,140.0,98.08315789473686,0,0.0,40.0,215.13
20,2026-08-06 20:00:00-05:00,0.10507870500107304,5.618563256235194,0.0,0.00048455123412072254,0.0,5.513,0.0,0.0,140.0,90.53473684210527,0,0.0,40.067837172776905,165.39
21,2026-08-06 21:00:00-05:00,0.2738216842139686,3.488501965316195,0.0,-0.00031971889777349105,0.0,3.215,0.0,0.0,140.0,84.73157894736843,0,0.0,40.0,96.44999999999999
22,2026-08-06 22:00:00-05:00,0.2852726304389466,2.9269310802413693,0.0,-0.00034155019757742267,0.0,2.642,0.0,0.0,80.0,81.34736842105265,0,0.0,40.0,79.25999999999999
23,2026-08-06 23:00:00-05:00,0.05784579615183225,2.8782288036603814,0.0,0.000383007508549138,0.0,2.82,0.0,0.0,80.0,78.5663157894737,0,0.0,40.03064060068393,84.6
0,2026-08-07 00:00:00-05:00,0.15145406113793172,2.876712328851813,0.0,0.00025826771388093306,0.0,2.725,0.0,0.0,45.0,130.0,0,0.0,40.01162204712464,81.75
1,2026-08-07 01:00:00-05:00,0.09572323076865928,2.8767123850971856,0.0,-1.0845671473802554e-05,0.0,2.781,0.0,0.0,45.0,127.13157894736842,0,0.0,40.0,83.43
2,2026-08-07 02:00:00-05:00,0.16971551384238595,2.876726112278856,0.0,1.0598436470221628e-05,0.0,2.707,0.0,0.0,45.0,124.20421052631579,0,0.0,40.00047692964116,81.21
3,2026-08-07 03:00:00-05:00,0.05899642810738617,2.877953080952517,0.0,-4.334715486908891e-05,0.0,2.819,0.0,0.0,45.0,121.35473684210527,0,0.0,40.0,84.57
4,2026-08-07 04:00:00-05:00,0.2568805794625027,2.917800398155143,0.0,-8.018130735987228e-05,0.0,2.661,0.0,0.0,45.0,118.38736842105264,0,0.0,40.0,79.83
5,2026-08-07 05:00:00-05:00,0.20594093351068346,3.3772674859436367,0.0,0.00032655243295343084,0.0,3.171,0.0,0.0,45.0,115.5863157894737,0,0.0,40.0146948594829,95.13
6,2026-08-07 06:00:00-05:00,0.5438122033119689,5.120044905786454,0.0,0.00023270247448525794,0.0,4.576,0.0,0.0,80.0,112.2484210526316,0,0.0,40.01861619795882,137.28
7,2026-08-07 07:00:00-05:00,3.778637046283252,6.575342465753426,0.0,-0.0002945805298262272,0.0,2.797,0.0,0.0,80.0,107.43157894736844,0,0.0,40.0,83.91000000000001
8,2026-08-07 08:00:00-05:00,8.523273116671783,5.120044905786454,0.0,-3.403228210885329,0.0,0.0,0.0,0.0,80.0,104.48736842105265,0,0.0,40.0,0.0
9,2026-08-07 09:00:00-05:00,11.109379431194279,3.3772674859436367,0.0,-7.732111945250642,0.0,0.0,0.0,0.0,80.0,104.48736842105265,0,0.0,40.0,0.0
10,2026-08-07 10:00:00-05:00,22.7598761324129,2.917800398155143,0.0,-19.842075734257755,0.0,0.0,0.0,0.0,80.0,104.48736842105265,0,0.0,40.0,0.0
11,2026-08-07 11:00:00-05:00,28.26529450230265,2.8779530809525737,0.0,-25.387341421350076,0.0,0.0,0.0,0.0,80.0,104.48736842105265,0,0.0,40.0,0.0
12,2026-08-07 12:00:00-05:00,30.051527251118134,2.8767261123823644,0.0,-27.17480113873577,0.0,0.0,0.0,0.0,80.0,104.48736842105265,0,0.0,40.0,0.0
13,2026-08-07 13:00:00-05:00,28.73503242258209,2.8767124539450397,0.0,-25.85831996863705,0.0,0.0,0.0,0.0,80.0,104.48736842105265,0,0.0,40.0,0.0
14,2026-08-07 14:00:00-05:00,25.32686483184706,2.8767291753661524,0.0,-22.45013565648091,0.0,0.0,0.0,0.0,80.0,104.48736842105265,0,0.0,40.0,0.0
15,2026-08-07 15:00:00-05:00,20.443543745581568,2.8782288036604284,0.0,-17.56531494192114,0.0,0.0,0.0,0.0,80.0,104.48736842105265,0,0.0,40.0,0.0
16,2026-08-07 16:00:00-05:00,14.117270026482585,2.9269310802413693,0.0,-11.190338946241216,0.0,0.0,0.0,0.0,80.0,104.48736842105265,0,0.0,40.0,0.0
17,2026-08-07 17:00:00-05:00,6.582146068161869,3.488501965316195,0.0,-3.093644102845674,0.0,0.0,0.0,0.0,80.0,104.48736842105265,0,0.0,40.0,0.0
18,2026-08-07 18:00:00-05:00,1.0451226884361446,5.618563256235194,0.0,0.00044056779904888543,0.0,4.573,0.0,0.0,80.0,104.48736842105265,0,0.0,40.03524542392391,137.19
19,2026-08-07 19:00:00-05:00,0.18957198839942943,7.397260273972603,0.0,-0.00031171442682698114,0.0,7.208,0.0,0.0,140.0,99.67368421052633,0,0.0,40.0,216.24
20,2026-08-07 20:00:00-05:00,0.23353886856062986,5.618563256235194,0.0,2.4387674564252393e-05,0.0,5.385,0.0,0.0,140.0,92.0863157894737,0,0.0,40.003414274438995,161.54999999999998
21,2026-08-07 21:00:00-05:00,0.16305668630141265,3.488501965316195,0.0,0.00044527901478197407,0.0,3.325,0.0,0.0,140.0,86.41789473684213,0,0.0,40.062339062069476,99.75
22,2026-08-07 22:00:00-05:00,0.21397954340143877,2.9269310802413693,0.0,-4.846316006945628e-05,0.0,2.713,0.0,0.0,80.0,82.91789473684213,0,0.0,40.0,81.39
23,2026-08-07 23:00:00-05:00,0.16812412317618522,2.8782288036603814,0.0,2.710104680484196,0.0,0.0,0.0,0.0,80.0,80.06210526315792,0,0.0,256.80837443873565,0.0
