modo,estrategia,fecha,pv_kwh,costo_total,costo_norm,diesel_L,diesel_h,ens_kwh,ens_h,deficit_kwh,deficit_max_kw,soc_start_kwh,soc_min_kwh,soc_final_kwh,import_kwh,export_kwh,curtailed_kwh,viol
grid10,smpc,2026-08-06,134.58682847205665,61141.100594950265,59941.111542318686,515.1847640639999,16,0.0,0,1.7763568394002505e-15,1.7763568394002505e-15,142.62774473684215,110.09300789473691,157.6276078947369,78.52179783534946,50.765676210402255,0.3407941543119364,0
grid10,dmpc,2026-07-24,198.01842405805309,65347.39756135649,65895.0285087249,566.438404509,16,0.0,0,5.3290705182007506e-15,1.7763568394002505e-15,130.0,97.46526315789475,123.15461315789476,78.56577738176259,108.11782192796876,111.95622356915496,0
grid10,dmpc,2026-07-25,207.10425167565415,66466.32130448456,66574.29225185298,575.309031478,16,0.0,0,1.7763568394002505e-15,1.7763568394002505e-15,123.15461315789476,90.6198763157895,121.8049763157895,78.43016308198345,121.25741351412348,116.4188453008222,0
grid10,dmpc,2026-07-26,179.77616604562493,65973.76048393204,65973.73543130046,569.964276909,16,0.0,0,0.0,0.0,121.8049763157895,89.27023947368423,121.8052894736842,78.30555680806468,111.5074353069102,88.67813160408747,0
grid10,dmpc,2026-07-27,178.7858418577156,65681.28709483678,65605.2620422052,566.438404509,16,0.0,0,1.7763568394002505e-15,1.7763568394002505e-15,121.8052894736842,89.27055263157894,122.75560263157892,78.65307299281116,108.45181574037228,84.27094316746256,0
grid10,dmpc,2026-07-28,204.27943056075685,66476.35967681142,66552.41062417984,575.3090314780001,16,0.0,0,1.7763568394002505e-15,1.7763568394002505e-15,122.75560263157892,90.22086578947366,121.80496578947368,78.44698675731146,118.82870716564464,115.61955420973172,0
grid10,dmpc,2026-07-29,180.47724219655015,66280.93350422366,65043.32445159209,566.438404509,16,0.0,0,0.0,0.0,121.80496578947368,89.2702289473684,137.27507894736837,78.39692600990071,99.57619976036418,79.29781250339477,0
grid10,dmpc,2026-07-30,194.2763031773748,56804.33183906913,58701.18783906913,465.82845328,15,0.0,0,3.552713678800501e-15,1.7763568394002505e-15,137.27507894736837,104.74034210526315,113.5643789473684,78.46675958974384,62.26580812836893,1.3390986960577678,0
grid10,dmpc,2026-07-31,192.6368020766043,58617.17146849846,58191.24241586689,494.152322485,16,0.0,0,3.552713678800501e-15,1.7763568394002505e-15,113.5643789473684,81.02964210526312,118.88849210526313,78.4100971551219,81.69510424839628,3.047639040637982,0
grid10,dmpc,2026-08-01,203.5248635202317,58188.143854621696,58376.063854621694,471.0811192000001,15,0.0,0,1.7763568394002505e-15,1.7763568394002505e-15,118.88849210526313,86.35375526315784,116.53949210526314,77.66826873909397,58.11297631663379,0.0,0
grid10,dmpc,2026-08-02,210.5356350872605,59041.72622141042,57342.189168778845,491.4989784089999,16,0.0,0,1.7763568394002505e-15,1.7763568394002505e-15,116.53949210526314,84.00475526315788,137.78370526315786,78.59070518189873,77.66850259807579,4.035681728391509,0
grid10,dmpc,2026-08-03,162.88303947567306,57113.317571063104,58587.3855710631,464.622298555,15,0.0,0,0.0,0.0,137.78370526315786,105.24896842105264,119.3578552631579,80.92085696527214,27.12774049825325,0.0,0
grid10,dmpc,2026-08-04,205.22886252549716,56896.40586802995,58486.8224996089,465.3156606919999,15,0.0,0,3.552713678800501e-15,1.7763568394002505e-15,119.3578552631579,86.82311842105264,99.47764736842106,78.33650585542172,65.99438584029801,3.5708265979289,0
grid10,dmpc,2026-08-05,114.5457078177002,60272.84203645775,59116.70498382617,501.935618642,16,0.0,0,6.217248937900877e-15,3.552713678800501e-15,99.47764736842106,66.94291052631579,113.92936052631582,84.42918674789436,15.881738622902612,0.0,0
grid10,dmpc,2026-08-06,134.58682847205665,59877.18770767556,59884.762655043975,507.435454559,16,0.0,0,1.7763568394002505e-15,1.7763568394002505e-15,113.92936052631582,81.39462368421056,113.83467368421056,80.35402362566566,54.87179552014707,1.316900634883325,0
grid10,heur,2026-07-24,198.01842405805309,71290.25977583817,78385.94464999044,669.5980946061586,23,0.0,0,0.0,0.0,130.0,41.30393907309672,41.30393907309672,0.0,173.9513431131507,248.93130040943376,0
grid10,heur,2026-07-25,207.10425167565415,71414.28662811322,71414.28662811322,704.5428662811322,24,0.0,0,0.0,0.0,41.30393907309672,41.30393907309672,41.30393907309672,0.0,175.8402957016038,233.14776490090597,0
grid10,heur,2026-07-26,179.77616604562493,71927.86610305082,71927.86610305082,709.6786610305081,24,0.0,0,0.0,0.0,41.30393907309672,41.30393907309672,41.30393907309672,0.0,162.7708317115687,227.37475899615364,0
grid10,heur,2026-07-27,178.7858418577156,71600.76610663033,71600.76610663033,706.4076610663033,24,0.0,0,0.0,0.0,41.30393907309672,41.30393907309672,41.30393907309672,7.105427357601002e-15,156.08265368783992,227.67982654108064,0
grid10,heur,2026-07-28,204.27943056075685,71499.80727749305,71499.80727749305,705.3980727749304,24,0.0,0,0.0,0.0,41.30393907309672,41.30393907309672,41.30393907309672,0.0,175.03529334845078,232.5614067573352,0
grid10,heur,2026-07-29,180.47724219655015,71634.37363305481,71634.37363305481,706.7437363305481,24,0.0,0,0.0,0.0,41.30393907309672,41.30393907309672,41.30393907309672,0.0,159.12509642748313,226.8892476729097,0
grid10,heur,2026-07-30,194.2763031773748,71740.1219903682,71740.1219903682,707.8012199036821,24,0.0,0,0.0,0.0,41.30393907309672,41.30393907309672,41.30393907309672,0.0,173.04632749729288,228.48686783505715,0
grid10,heur,2026-07-31,192.6368020766043,71668.34390217329,71668.34390217329,707.0834390217328,24,0.0,0,0.0,0.0,41.30393907309672,41.30393907309672,41.30393907309672,0.0,168.40599135708965,230.3314256069483,0
